# x_m,y_m,w_tr_right_m,w_tr_left_m
38.1155,-28.6603,1.0006,1.0006
38.1964,-28.6603,1.0135,1.0135
38.2773,-28.7412,0.9774,0.9774
38.3582,-28.7412,1.0135,1.0135
38.4391,-28.8221,0.9774,0.9774
38.5200,-28.8221,1.0135,1.0135
38.6009,-28.8221,0.9774,0.9774
38.6818,-28.9030,1.0135,1.0135
38.7627,-28.9030,1.0006,1.0006
38.8435,-28.9839,1.0006,1.0006
38.9244,-28.9839,1.0135,1.0135
39.0053,-29.0647,0.9774,0.9774
39.0862,-29.0647,1.0135,1.0135
39.1671,-29.0647,1.0006,1.0006
39.2480,-29.0647,0.9774,0.9774
39.3289,-29.0647,0.9468,0.9468
39.4098,-29.1456,1.0006,1.0006
39.4907,-29.1456,0.9841,0.9841
39.5716,-29.1456,0.9740,0.9740
39.6524,-29.1456,0.9707,0.9707
39.7333,-29.1456,0.9707,0.9707
39.8142,-29.1456,0.9707,0.9707
39.8951,-29.1456,0.9707,0.9707
39.9760,-29.2265,1.0516,1.0516
40.0569,-29.2265,1.0516,1.0516
40.1378,-29.2265,1.0516,1.0516
40.2187,-29.1456,0.9841,0.9841
40.2996,-29.1456,1.0006,1.0006
40.3805,-29.1456,1.0232,1.0232
40.4613,-29.1456,1.0516,1.0516
40.5422,-29.1456,1.0792,1.0792
40.6231,-29.0647,1.0547,1.0547
40.7040,-29.0647,1.0883,1.0883
40.7849,-28.9839,1.0883,1.0883
40.8658,-28.9030,1.0883,1.0883
40.9467,-28.8221,1.1002,1.1002
40.9467,-28.7412,1.0547,1.0547
40.9467,-28.6603,1.0135,1.0135
41.0276,-28.5794,1.0516,1.0516
41.0276,-28.4985,1.0232,1.0232
41.0276,-28.4176,1.0006,1.0006
41.0276,-28.3367,0.9841,0.9841
41.0276,-28.2558,0.9740,0.9740
41.0276,-28.1750,0.9707,0.9707
41.0276,-28.0941,0.9707,0.9707
41.0276,-28.0132,0.9707,0.9707
41.0276,-27.9323,0.9707,0.9707
41.0276,-27.8514,0.9740,0.9740
40.9467,-27.7705,0.9044,0.9044
40.9467,-27.6896,0.9223,0.9223
40.9467,-27.6087,0.9468,0.9468
40.9467,-27.5278,0.9774,0.9774
40.9467,-27.4469,1.0006,1.0006
40.9467,-27.3661,1.0232,1.0232
40.9467,-27.2852,1.0006,1.0006
40.8658,-27.2043,1.0006,1.0006
40.8658,-27.1234,1.0232,1.0232
40.8658,-27.0425,1.0006,1.0006
40.7849,-26.9616,1.0006,1.0006
40.7849,-26.8807,1.0232,1.0232
40.7849,-26.7998,1.0006,1.0006
40.7040,-26.7189,1.0006,1.0006
40.7040,-26.6380,1.0232,1.0232
40.7040,-26.5572,1.0006,1.0006
40.6231,-26.4763,1.0006,1.0006
40.6231,-26.3954,1.0232,1.0232
40.6231,-26.3145,1.0006,1.0006
40.5422,-26.2336,1.0006,1.0006
40.5422,-26.1527,1.0232,1.0232
40.5422,-26.0718,1.0006,1.0006
40.4613,-25.9909,1.0006,1.0006
40.4613,-25.9100,1.0232,1.0232
40.4613,-25.8291,1.0006,1.0006
40.3805,-25.7483,1.0006,1.0006
40.3805,-25.6674,1.0232,1.0232
40.3805,-25.5865,1.0006,1.0006
40.2996,-25.5056,1.0006,1.0006
40.2996,-25.4247,1.0232,1.0232
40.2996,-25.3438,1.0006,1.0006
40.2187,-25.2629,1.0006,1.0006
40.2187,-25.1820,1.0232,1.0232
40.1378,-25.1011,0.9774,0.9774
40.1378,-25.0202,1.0006,1.0006
40.1378,-24.9394,1.0135,1.0135
40.0569,-24.8585,0.9774,0.9774
40.0569,-24.7776,1.0006,1.0006
40.0569,-24.6967,1.0006,1.0006
39.9760,-24.6158,0.9774,0.9774
39.9760,-24.5349,1.0006,1.0006
39.9760,-24.4540,1.0006,1.0006
39.8951,-24.3731,0.9774,0.9774
39.8951,-24.2922,1.0135,1.0135
39.8951,-24.2113,1.0006,1.0006
39.8142,-24.1305,1.0006,1.0006
39.8142,-24.0496,1.0232,1.0232
39.7333,-23.9687,0.9774,0.9774
39.7333,-23.8878,1.0006,1.0006
39.7333,-23.8069,1.0135,1.0135
39.6524,-23.7260,0.9774,0.9774
39.6524,-23.6451,1.0006,1.0006
39.6524,-23.5642,1.0006,1.0006
39.5716,-23.4833,0.9774,0.9774
39.5716,-23.4024,1.0135,1.0135
39.5716,-23.3216,1.0006,1.0006
39.4907,-23.2407,1.0006,1.0006
39.4907,-23.1598,1.0232,1.0232
39.4907,-23.0789,1.0006,1.0006
39.4098,-22.9980,1.0006,1.0006
39.4098,-22.9171,1.0232,1.0232
39.3289,-22.8362,0.9774,0.9774
39.3289,-22.7553,1.0006,1.0006
39.3289,-22.6744,1.0135,1.0135
39.2480,-22.5935,0.9774,0.9774
39.2480,-22.5127,1.0006,1.0006
39.2480,-22.4318,1.0006,1.0006
39.1671,-22.3509,0.9774,0.9774
39.1671,-22.2700,1.0135,1.0135
39.1671,-22.1891,1.0006,1.0006
39.0862,-22.1082,1.0006,1.0006
39.0862,-22.0273,1.0232,1.0232
39.0862,-21.9464,1.0006,1.0006
39.0053,-21.8655,1.0006,1.0006
39.0053,-21.7846,1.0232,1.0232
38.9244,-21.7038,0.9774,0.9774
38.9244,-21.6229,1.0006,1.0006
38.9244,-21.5420,1.0135,1.0135
38.8435,-21.4611,0.9774,0.9774
38.8435,-21.3802,1.0006,1.0006
38.8435,-21.2993,1.0006,1.0006
38.7627,-21.2184,0.9774,0.9774
38.7627,-21.1375,1.0135,1.0135
38.7627,-21.0566,1.0006,1.0006
38.6818,-20.9757,1.0006,1.0006
38.6818,-20.8949,1.0232,1.0232
38.6818,-20.8140,1.0006,1.0006
38.6009,-20.7331,1.0006,1.0006
38.6009,-20.6522,1.0232,1.0232
38.5200,-20.5713,0.9774,0.9774
38.5200,-20.4904,1.0006,1.0006
38.5200,-20.4095,1.0135,1.0135
38.4391,-20.3286,0.9774,0.9774
38.4391,-20.2477,1.0006,1.0006
38.4391,-20.1668,1.0006,1.0006
38.3582,-20.0860,0.9774,0.9774
38.3582,-20.0051,1.0135,1.0135
38.3582,-19.9242,1.0006,1.0006
38.2773,-19.8433,1.0006,1.0006
38.2773,-19.7624,1.0232,1.0232
38.2773,-19.6815,1.0006,1.0006
38.1964,-19.6006,1.0006,1.0006
38.1964,-19.5197,1.0232,1.0232
38.1155,-19.4388,0.9774,0.9774
38.1155,-19.3579,1.0006,1.0006
38.1155,-19.2771,1.0135,1.0135
38.0346,-19.1962,0.9774,0.9774
38.0346,-19.1153,1.0006,1.0006
38.0346,-19.0344,1.0006,1.0006
37.9538,-18.9535,0.9774,0.9774
37.9538,-18.8726,1.0135,1.0135
37.9538,-18.7917,1.0006,1.0006
37.8729,-18.7108,1.0006,1.0006
37.8729,-18.6299,1.0232,1.0232
37.8729,-18.5490,1.0006,1.0006
37.7920,-18.4682,1.0006,1.0006
37.7920,-18.3873,1.0232,1.0232
37.7111,-18.3064,0.9774,0.9774
37.7111,-18.2255,1.0006,1.0006
37.7111,-18.1446,1.0135,1.0135
37.6302,-18.0637,0.9774,0.9774
37.6302,-17.9828,1.0006,1.0006
37.6302,-17.9019,1.0006,1.0006
37.5493,-17.8210,0.9774,0.9774
37.5493,-17.7401,1.0135,1.0135
37.5493,-17.6593,1.0006,1.0006
37.4684,-17.5784,1.0006,1.0006
37.4684,-17.4975,1.0232,1.0232
37.3875,-17.4166,0.9774,0.9774
37.3875,-17.3357,1.0006,1.0006
37.3875,-17.2548,1.0135,1.0135
37.3066,-17.1739,0.9774,0.9774
37.3066,-17.0930,1.0006,1.0006
37.3066,-17.0121,1.0006,1.0006
37.2257,-16.9312,0.9774,0.9774
37.2257,-16.8504,1.0006,1.0006
37.2257,-16.7695,1.0006,1.0006
37.2257,-16.6886,0.9774,0.9774
37.1449,-16.6077,1.0006,1.0006
37.1449,-16.5268,1.0006,1.0006
37.1449,-16.4459,0.9841,0.9841
37.0640,-16.3650,1.0006,1.0006
37.0640,-16.2841,1.0232,1.0232
37.0640,-16.2032,1.0006,1.0006
37.0640,-16.1223,0.9774,0.9774
36.9831,-16.0415,1.0006,1.0006
36.9831,-15.9606,1.0006,1.0006
36.9831,-15.8797,0.9841,0.9841
36.9022,-15.7988,0.9841,0.9841
36.9022,-15.7179,1.0006,1.0006
36.9022,-15.6370,1.0232,1.0232
36.9022,-15.5561,1.0006,1.0006
36.9022,-15.4752,0.9841,0.9841
